date,ta,tb,tc
2021/6/11,113776,43173,42343
2021/6/12,105509,39202,38507
2021/6/13,102458,37257,36568
2021/6/14,99723,37457,36814
2021/6/15,148957,49927,48959
2021/6/16,186351,55390,54426
2021/6/17,168568,51260,50314
2021/6/18,186150,53254,52318
2021/6/19,198812,50612,49815
2021/6/20,185772,46387,45660
2021/6/21,206504,44975,43957
2021/6/22,192288,43406,42483
2021/6/23,137982,41054,40150
2021/6/24,155924,44234,43309
2021/6/25,196735,40725,39829
2021/6/26,162175,38989,38255
2021/6/27,157451,40807,39877
2021/6/28,183944,41566,40581
2021/6/29,117591,38095,37148
2021/6/30,197319,37501,36538
2021/7/1,120923,35509,34604
2021/7/2,112696,37030,36229
2021/7/3,103463,33018,32281
2021/7/4,165391,33365,32694
2021/7/5,164943,34516,33686
2021/7/6,129562,33876,32988
2021/7/7,106217,34381,33567
2021/7/8,137031,34719,33865
2021/7/9,207830,33478,32668
2021/7/10,141842,44057,43320
2021/7/11,125957,37565,36834
2021/7/12,139012,37775,36834
2021/7/13,127014,38760,37963
2021/7/14,118241,36267,35472
2021/7/15,114358,36140,35262
2021/7/16,110253,36081,35294
2021/7/17,106784,34813,34072
2021/7/18,103964,33739,33029
2021/7/19,110009,35453,34642
2021/7/20,107654,35996,35166
2021/7/21,142002,32631,31739
2021/7/22,135422,30616,29697
2021/7/23,146832,29613,28765
2021/7/24,137987,28777,28105
2021/7/25,118106,28150,27491
2021/7/26,110512,28962,28028
2021/7/27,115372,29607,28804
2021/7/28,113228,28492,27602
2021/7/29,98432,25785,24949
2021/7/30,91659,24393,23698
2021/7/31,85578,22298,21638
2021/8/1,96051,23311,22624
2021/8/2,123416,34433,33578
2021/8/3,127483,27229,26434
2021/8/4,93366,25274,24558
2021/8/5,126280,24951,24162
2021/8/6,95872,24269,23506
2021/8/7,113582,22725,22053
2021/8/8,107690,25210,24567
2021/8/9,138615,27909,26959
2021/8/10,147088,29952,28974
2021/8/11,156403,31658,30674
2021/8/12,121010,31462,30630
2021/8/13,135649,31358,30560
2021/8/14,132384,28118,27360
2021/8/15,118242,27410,26670
2021/8/16,138604,29429,28399
2021/8/17,164605,29410,28446
2021/8/18,120735,28654,27723
2021/8/19,123084,26999,26154
2021/8/20,123051,28227,27419
2021/8/21,175442,29423,28698
2021/8/22,169774,29284,28585
2021/8/23,159922,32587,31645
2021/8/24,204492,31637,30665
